code,module,description,sources
SH-A,SH,Edit WO Start/Finish/Due Dates,BKSHA
SH-B,SH,Manually Schedule Work Orders,BKSHB
SH-C,SH,Manually Schedule Work Centers,BKSHC
SH-D,SH,Manually Schedule Machines,BKSHD
SH-E,SH,Finite Scheduling,BKSHE
SH-F,SH,Infinite Scheduling,BKSHF
SH-G,SH,Print Work Order Schedule,BKSHG
SH-H,SH,Print Work Order Status,BKSHH
SH-I,SH,Print Work Center Schedule,BKSHI;CBKSHI;CBKSHI2;CBKSHI3;J5MISHI
SH-J,SH,Print Machine Schedule,BKSHJ
SH-K,SH,View Work Center Load,BKSHK
SH-L,SH,Print Work Center Load,BKSHL
SH-M,SH,Lead Time Estimator,BKSHM
SH-N,SH,Generate Lead Times,BKSHN
SH-O,SH,Finite Schedule Bucket Report,BKSHO
SH-P,SH,Lead Time Scheduling,BKSHP
SM-D,SM,Enter Terms Table,BKAME
SM-E,SM,Enter Tax Codes,BKAMF
SM-F,SM,Enter Tax Groups,BKAMG
SM-G,SM,Enter Employees,BKMMB
SM-H,SM,Enter Shop Calendar,BKMMC
SM-I-A,SM,Enter Lead Source Codes,BKAMLA
SM-I-B,SM,Enter Territory Codes,BKAMLB
SM-I-C,SM,Enter History Codes,BKAMLC
SM-I-D,SM,Enter Account Follow-up Codes,BKAMLD
SM-I-E,SM,Enter Vendor Follow-up Codes,BKAMLE
SM-I-F,SM,Enter Personal Contact Follow-up Codes,BKAMLF
SM-I-G,SM,Enter Class Codes,BKAMLG
SM-I-H,SM,Enter Key Date Codes,BKAMLH
SM-I-I,SM,Enter Reps and Passwords,BKAMLI
SM-I-J,SM,Purge Account History,BKAMLJ
SM-I-K,SM,Purge Account Follow-ups,BKAMLK
SM-I-L,SM,Purge Vendor Contact History,BKAMLL
SM-I-M,SM,Purge Vendor Follow-ups,BKAMLM
SM-I-N,SM,Purge Personal Contact History,BKAMLN
SM-I-O,SM,Purge Personal Contact Follow-ups,BKAMLO
SM-J-A,SM,Work Order File Maintenance,BKMMF
SM-J-H,SM,Purge Data Collection File,BKMML
SM-J-I,SM,Purge Estimates,BKMMM
SM-J-J,SM,Purge Closed Sales Orders,BKAMPD;ISSMJJ
SM-J-K,SM,Purge Invoice History,BKAMPE;ISSMJJ
SM-J-M,SM,Change Customer Codes,BKAMM
SM-J-N,SM,Change Vendor Codes,BKAMN
SM-J-O,SM,Rebuild Customer/Vendor Totals,BKAMK
SM-J-P,SM,Purge AR Vouchers,BKAMPC;ISSMJJ
SM-J-Q,SM,Bill of Material Recursion Utility,BKBMM
SM-J-R,SM,Archive Purchase Order History,ISSMJR
SM-J-S,SM,Purge Inventory Audit Info.,ISSMJS
SM-J-T,SM,Archive/Restore Quotes,ISSMJJ
SM-P-F,SM,Description Entry,ISJOBS
