code,module,description,rwn/run_modules,dfm_forms,help_title
LW-J-C,LW,Print Material/Labor Issues,BKJCE;ISJCE,,
LW-J-D,LW,Print Outside Purchases,BKJCF,,
LW-J-E,LW,Print Job Cost Summary,BKLWJE,,
LW-J-F,LW,Print Job Cost Report,BKJCA;t6jca,,
LW-J-G,LW,Print Work Order Shortages,BKAWLF;BKWOLF;t6wolf,,
LW-J-H,LW,Print WIP Summary,BKJCM;BKJCR,,
LW-J-I,LW,Print WO Receipts,BKJCQ,,
MM-K-A,MM,Print Product Classes,BKMMKA,,
MM-K-C,MM,Print Customer Code and Name,BKARG,,
MM-K-D,MM,Print Vendor Code and Name,BKAPJ;t6apj,,
MM-L,MM,Enter Vendors,BKAPA;BKPOP,,
MR-A,MR,Enter Forecast,BKMRA;BKMRADE,T7MRA.DFM;T7MRADE.DFM,Enter Forecast
MR-B,MR,Print Forecast,BKMRB,T7MRB.DFM,Print Forecast
MR-C,MR,Reset Forecast,BKMRC,T7MRC.DFM,Reset Forecast
MR-D,MR,Enter MRP Parameters,BKMRD,T7MRD.DFM,Enter Mrp Parameters
MR-E,MR,Print MRP Parameters,BKMRE,T7MRE.DFM,Print Mrp Parameters
MR-F,MR,Generate Material Requirements,AUTOMRF;BKMRF,T7MRF.DFM,Generate Mrp Requirements
MR-G,MR,Print Material Requirements,BKMRG,T7MRG.DFM,Print Material Requirements
